block,l1,l2,r_nominal,r_best,shift_cm
C,11,25,-0.0286,0.2824,-7.47
C,11,26,0.0005,0.5136,-19.92
C,11,27,0.4041,0.5658,-19.92
C,11,28,0.0861,0.6347,-12.45
C,11,29,0.5834,0.5979,-2.49
C,11,30,0.4489,0.5759,-19.92
C,11,31,-0.0827,0.3573,7.47
C,12,18,0.0298,0.5085,7.47
C,12,19,0.4294,0.5907,-9.96
C,12,20,0.2971,0.5615,-2.49
C,12,21,0.2941,0.5658,2.49
C,12,22,0.4743,0.6151,-4.98
C,12,23,0.4457,0.5056,-12.45
C,12,24,0.4786,0.5481,14.94
C,12,25,0.061,0.2876,-9.96
C,12,26,0.1859,0.609,-19.92
C,12,27,0.383,0.3909,17.43
C,12,28,0.3589,0.5975,7.47
C,12,29,0.2306,0.6183,-14.94
C,12,30,0.1835,0.3097,4.98
C,12,31,0.3886,0.6782,14.94
C,13,18,0.5186,0.5514,2.49
C,13,19,0.3501,0.5758,-19.92
C,13,20,0.549,0.6896,-9.96
C,13,21,-0.0859,0.4161,-19.92
C,13,22,0.2062,0.4031,-7.47
C,13,23,0.373,0.5151,-4.98
C,13,24,0.8014,0.8014,0.0
C,13,25,0.3336,0.5448,19.92
C,13,26,0.5483,0.6134,-2.49
C,13,27,0.4931,0.5994,-7.47
C,13,28,0.7046,0.7906,-2.49
C,13,29,0.3548,0.724,9.96
C,13,30,0.4278,0.5572,4.98
C,13,31,0.2575,0.4051,9.96
C,14,18,0.3059,0.7429,-19.92
C,14,19,0.0069,0.5826,-14.94
C,14,20,0.2775,0.5009,2.49
C,14,21,0.1766,0.5964,-17.43
C,14,22,0.1435,0.4193,-9.96
C,14,23,0.2387,0.3584,4.98
C,14,24,0.4098,0.6563,4.98
C,14,25,0.094,0.3856,-19.92
C,14,26,0.3368,0.5531,-19.92
C,14,27,0.1947,0.6446,17.43
C,14,28,0.7163,0.8172,4.98
C,14,29,0.2726,0.5477,-17.43
C,14,30,0.2057,0.554,-14.94
C,14,31,0.4055,0.6208,4.98
C,15,18,0.1567,0.488,-14.94
C,15,19,0.307,0.4888,4.98
C,15,20,-0.0241,0.5062,-4.98
C,15,21,0.0141,0.1361,-4.98
C,15,22,0.5623,0.5775,-14.94
C,15,23,0.4165,0.6512,-4.98
C,15,24,-0.0108,0.3932,-19.92
C,15,25,-0.0841,0.5612,-17.43
C,15,26,0.5834,0.7894,-17.43
C,15,27,0.7136,0.801,4.98
